X,Y,OBJECTID,ID,TYPE,SOURCE,LATITUDE,LONGITUDE,DATETIME,AUTOACKNOWLEDGED,INDC,GIS_ID,GLOBALID,CREATOR,CREATED,EDITOR,EDITED
-76.9359999987534,38.8889999962178,62647,6D146749,Multiple_Gunshots,WashingtonDC6D,38.889,-76.936,2015/10/17 03:11:36+00,,,ShotSpotter_62647,{1FDAB4F4-DF87-4530-B6EC-76C7EC2C4918},JLAY,2021/03/10 21:45:53+00,DCGIS,2021/03/11 03:10:13+00
-76.9359999959195,38.8820000031547,62648,6D146750,Multiple_Gunshots,WashingtonDC6D,38.882,-76.936,2015/10/17 03:35:32+00,,,ShotSpotter_62648,{93C5FCCD-D423-4FD2-AB26-CB94193A42BB},JLAY,2021/03/10 21:45:53+00,DCGIS,2021/03/11 03:09:11+00
-77.0219999970003,38.9560000040919,62649,4D48551,Single_Gunshot,WashingtonDC4D,38.956,-77.022,2015/12/28 00:12:54+00,,,ShotSpotter_62649,{B97348CF-C14E-4506-AF6A-7BA02A613957},JLAY,2021/03/10 21:45:53+00,DCGIS,2021/03/11 03:08:41+00
-76.9900000019671,38.8580000013645,62650,7D181583,Gunshot_or_Firecracker,WashingtonDC7D,38.858,-76.99,2015/12/28 00:27:42+00,,,ShotSpotter_62650,{1DDA2CAC-7271-4079-9CDA-F46DB4C44B81},JLAY,2021/03/10 21:45:53+00,DCGIS,2021/03/11 03:09:51+00
-76.9449999974615,38.8949999963041,62651,6D148378,Multiple_Gunshots,WashingtonDC6D,38.895,-76.945,2015/12/28 00:39:49+00,,,ShotSpotter_62651,{110A96B6-B7B0-4FF9-90B4-58CDBFD32666},JLAY,2021/03/10 21:45:53+00,DCGIS,2021/03/11 03:09:30+00
-76.9699999957823,38.9310000017664,62652,#REF!,Multiple_Gunshots,WashingtonDC5D,38.931,-76.97,2015/12/28 00:41:22+00,,,ShotSpotter_62652,{F619D5A4-95B7-4658-BC14-4D1BE6B72CE5},JLAY,2021/03/10 21:45:53+00,DCGIS,2021/03/11 03:09:30+00
-76.9960000038145,38.8340000031336,62653,7D181585,Multiple_Gunshots,WashingtonDC7D,38.834,-76.996,2015/12/28 03:04:28+00,,,ShotSpotter_62653,{0632C8C8-0364-4750-B03B-7F079929C545},JLAY,2021/03/10 21:45:53+00,DCGIS,2021/03/11 03:10:15+00
-76.9710000044435,38.8550000035248,62654,7D181587,Gunshot_or_Firecracker,WashingtonDC7D,38.855,-76.971,2015/12/28 03:40:28+00,,,ShotSpotter_62654,{A572CE69-FC41-4C86-8FC6-B03DC7D7BCEB},JLAY,2021/03/10 21:45:53+00,DCGIS,2021/03/11 03:09:28+00
-76.9860000002075,38.8500000038683,62655,7D181588,Single_Gunshot,WashingtonDC7D,38.85,-76.986,2015/12/28 03:42:03+00,,,ShotSpotter_62655,{2CE85773-FB66-4E93-A8A7-D3BE872E1D73},JLAY,2021/03/10 21:45:53+00,DCGIS,2021/03/11 03:09:57+00
-76.9900000027386,38.9020000049467,62656,1D74527,Single_Gunshot,WashingtonDC1D,38.902,-76.99,2015/12/28 04:32:59+00,,,ShotSpotter_62656,{B533663F-33DD-4157-8257-000B9B103E1C},JLAY,2021/03/10 21:45:53+00,DCGIS,2021/03/11 03:08:48+00
-76.9279999951428,38.9070000004037,62657,6D148380,Single_Gunshot,WashingtonDC6D,38.907,-76.928,2015/12/28 04:51:32+00,,,ShotSpotter_62657,{93D27870-2015-4081-AD60-BFF90D5BD098},JLAY,2021/03/10 21:45:53+00,DCGIS,2021/03/11 03:08:55+00
-76.9919999975072,38.855999996398,62658,7D181590,Multiple_Gunshots,WashingtonDC7D,38.856,-76.992,2015/12/28 05:22:08+00,,,ShotSpotter_62658,{98423155-F250-42EE-9617-9340AE1C07A7},JLAY,2021/03/10 21:45:53+00,DCGIS,2021/03/11 03:09:14+00
-76.9970000026228,38.8339999970697,62659,7D181591,Multiple_Gunshots,WashingtonDC7D,38.834,-76.997,2015/12/28 06:31:14+00,,,ShotSpotter_62659,{06C90558-F31E-4EF0-A78F-83A255DB6203},JLAY,2021/03/10 21:45:53+00,DCGIS,2021/03/11 03:10:09+00
-76.9299999969594,38.8920000020329,62660,6D148381,Single_Gunshot,WashingtonDC6D,38.892,-76.93,2015/12/28 10:58:29+00,,,ShotSpotter_62660,{56CC3512-FE8F-45CB-8DD1-78C20FF56A7B},JLAY,2021/03/10 21:45:53+00,DCGIS,2021/03/11 03:08:39+00
