"","filename","sentence","index","date","title","publication","title2","filepath"
"70","AI_yao_taufiq_extracted_1.txt","",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"71","AI_yao_taufiq_extracted_1.txt","11. CU BOULDER PIONEERS CULTURALLY SENSITIVE AI SOLUTIONS FOR DISASTERS",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"72","AI_yao_taufiq_extracted_1.txt","May 08, 2024       States News Service States News Service",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"73","AI_yao_taufiq_extracted_1.txt","",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"74","AI_yao_taufiq_extracted_1.txt","",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"75","AI_yao_taufiq_extracted_1.txt","12. ERNST EXPOSES SBA'S LACK OF IT SECURITY AS THE AGENCY PURSUES AI",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"76","AI_yao_taufiq_extracted_1.txt","TECHNOLOGY",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"77","AI_yao_taufiq_extracted_1.txt","May 29, 2024       States News Service States News Service",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"78","AI_yao_taufiq_extracted_1.txt","",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"79","AI_yao_taufiq_extracted_1.txt","",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"80","AI_yao_taufiq_extracted_1.txt","13. Ernst Exposes SBA's Lack of IT Security as the Agency Pursues AI Technology",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"81","AI_yao_taufiq_extracted_1.txt","May 29, 2024       Targeted News Service           Targeted News Service",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"82","AI_yao_taufiq_extracted_1.txt","",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"83","AI_yao_taufiq_extracted_1.txt","",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"84","AI_yao_taufiq_extracted_1.txt","14. CHANGING THE MAP: NEW AI TECHNOLOGY, GEOSPATIAL MAPPING CERTIFICATES",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"85","AI_yao_taufiq_extracted_1.txt","OFFERED",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"86","AI_yao_taufiq_extracted_1.txt","Aug 14, 2024       US Fed News",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"87","AI_yao_taufiq_extracted_1.txt","",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"88","AI_yao_taufiq_extracted_1.txt","",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"89","AI_yao_taufiq_extracted_1.txt","15. DHS Launches First-of-its-Kind Initiative to Hire 50 Artificial Intelligence Experts in",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"90","AI_yao_taufiq_extracted_1.txt","2024",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"91","AI_yao_taufiq_extracted_1.txt","Feb 06, 2024       Targeted News Service           Targeted News Service",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"92","AI_yao_taufiq_extracted_1.txt","",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"93","AI_yao_taufiq_extracted_1.txt","",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"94","AI_yao_taufiq_extracted_1.txt","16. Augmented Intelligence for Disaster Response: Beeline Kazakhstan Mobilises AI to",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"95","AI_yao_taufiq_extracted_1.txt","Fight Forest Fires",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"96","AI_yao_taufiq_extracted_1.txt","Feb 06, 2024   GlobeNewswire   COMPANY ANNOUNCEMENT; PRESS RELEASES;",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"97","AI_yao_taufiq_extracted_1.txt","OTHER NEWS; EUROPEAN REGULATORY NEWS",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"98","AI_yao_taufiq_extracted_1.txt","",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"99","AI_yao_taufiq_extracted_1.txt","",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"100","AI_yao_taufiq_extracted_1.txt","            | About LexisNexis | Privacy Policy | Terms & Conditions | Copyright © 2020 LexisNexis",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"101","AI_yao_taufiq_extracted_1.txt","",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"102","AI_yao_taufiq_extracted_1.txt","17. House Science Committee Passes Bills to Advance Research and Technology",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"103","AI_yao_taufiq_extracted_1.txt","Development on AI, Nuclear Energy, and Natural Disasters Committee-Passed Legislation",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"104","AI_yao_taufiq_extracted_1.txt","Includes Provisions from McClellan's BUILT Act Rep. Jennifer McClellan (D- VA ) News",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"105","AI_yao_taufiq_extracted_1.txt","Release",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"106","AI_yao_taufiq_extracted_1.txt","Sep 25, 2024      Congressional Documents and Publications (Federal Information &",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"107","AI_yao_taufiq_extracted_1.txt","News Dispatch, Inc.)    U.S. HOUSE OF REPRESENTATIVES DOCUMENTS",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"108","AI_yao_taufiq_extracted_1.txt","",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
